Index,District,No_of_Accused,Category,Acts
1,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(2), 376(2))(n)] [POCSO- 5(l)/6]"
2,AGAR,1,POCSO Cases,"[IPC- 363, 366, 368, 370, 376] [POCSO- 5(l)/6]"
3,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376(2)(n)] [POCSO- 3/4]"
4,AGAR,1,POCSO Cases,"[IPC- 376, 511, 450, 506] [POCSO- 7/8]"
5,AGAR,1,POCSO Cases,"[IPC- 354, 354(a), 506] [POCSO- 11/12]"
6,AGAR,1,POCSO Cases,"[IPC- 354, 354(d), 506, 509] [POCSO- 11(4)12]"
7,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376, 370] [POCSO- 7/8]"
8,AGAR,1,POCSO Cases,"[IPC- 363, 366 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
9,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
10,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 5(l)/6]"
11,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376(2)(n), 34] [POCSO- 7/8]"
12,AGAR,5,POCSO Cases,"[IPC- 363, 366, 376(2)(n), 366(k),343, 120(b), 34] [POCSO- 3/4]"
13,AGAR,1,POCSO Cases,"[IPC- 376(i), 342, 323, 506] [POCSO- 3/4]"
14,AGAR,2,POCSO Cases,"[IPC- 343, 363, 366, 376,] [POCSO- 5(l)/6]"
15,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 3/4]"
16,AGAR,1,POCSO Cases,"[IPC- 363, 366. 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
17,AGAR,1,POCSO Cases,"[POCSO- 5(l)/6] [IPC- 363, 366, 376(2), 506]"
18,AGAR,2,POCSO Cases,"[IPC- 354, 354(a), 506, 306, 511, 190, 34] [POCSO- 7/8]"
19,AGAR,1,POCSO Cases,"[IPC- 341, 354,354(a)] [POCSO- 11/12, 7/8]"
20,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(2), 376(2)] [POCSO- 5(l)/6]"
21,AGAR,2,POCSO Cases,"[IPC- 354, 354(d), 506, 34] [POCSO- 7/8]"
22,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376(2)(k)] [POCSO- 5(l)/6]"
23,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(a), 376] [POCSO- 5/6]"
24,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376, 376(2)(n), 342, 34] [POCSO- 7/8]"
25,AGAR,1,POCSO Cases,"[IPC- 376, 376(2), 323,506] [POCSO- 3/4]"
26,AGAR,1,POCSO Cases,"[IPC- 354, 506] [POCSO- 7/8]"
27,AGAR,1,POCSO Cases,[IPC- 363] [POCSO- 7/8]
28,AGAR,1,POCSO Cases,"[IPC- 363,366, 376(2)(n)] [POCSO- 5(l)/6]"
29,AGAR,1,Sensational & Heinous,"[IPC- 376, 307]"
30,AGAR,7,Sensational & Heinous,"[IPC- 147, 148, 149, 307, 294, 506]"
31,AGAR,5,Sensational & Heinous,"[IPC- 302, 304]"
32,AGAR,3,Sensational & Heinous,[IPC- 376(2)]
33,AGAR,1,Sensational & Heinous,"[IPC- 376,506]"
34,AGAR,1,Sensational & Heinous,"[IPC- 307, 323, 294]"
35,AGAR,3,Sensational & Heinous,"[ARMs- 25(1-B) B, 26]"
36,AGAR,11,Sensational & Heinous,"[IPC- 147, 148, 307, 294]"
37,AGAR,1,Sensational & Heinous,"[IPC- 363, 366, 376(2) (1) , 376 (2)] [POCSO- 5/6]"
38,AGAR,1,Sensational & Heinous,"[IPC- 302, 201]"
39,AGAR,1,Sensational & Heinous,"[IPC- 376(2)1] [POCSO- 3(A),4, 5M/6]"
40,AGAR,1,Sensational & Heinous,"[IPC- 341, 354, 354A, 354d, 506] [POCSO- 7/8]"
41,AGAR,1,Sensational & Heinous,"[IPC- 307, 302]"
42,AGAR,2,Sensational & Heinous,"[IPC- 452, 323, 294, 302, 506, 34]"
