State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
23,465,0,0,0,0,DISTRICT,Alirajpur,Total,123800,728999,362542,366457,147961,74818,73143,26877,13481,13396,648638,321842,326796,209754,120905,88849,519245,241637,277608,366797,188698,178099,265029,152147,112882,209125,118684,90441,26185,11511,14674,2817,1790,1027,26902,20162,6740,101768,36551,65217,47268,16821,30447,47508,16457,31051,1249,526,723,5743,2747,2996,83156,28165,54991,36857,12085,24772,41347,13820,27527,928,363,565,4024,1897,2127,18612,8386,10226,10411,4736,5675,6161,2637,3524,321,163,158,1719,850,869,362202,173844,188358
23,461,0,0,0,0,DISTRICT,Anuppur,Total,170715,749237,379114,370123,106071,54388,51683,74385,37841,36544,358543,177977,180566,436595,254120,182475,312642,124994,187648,346471,207401,139070,227040,154768,72272,89496,59466,30030,58550,30415,28135,4041,2923,1118,74953,61964,12989,119431,52633,66798,25952,11849,14103,71826,28865,42961,3010,1412,1598,18643,10507,8136,95166,42718,52448,19569,9271,10298,59764,24245,35519,2102,1030,1072,13731,8172,5559,24265,9915,14350,6383,2578,3805,12062,4620,7442,908,382,526,4912,2335,2577,402766,171713,231053
23,459,0,0,0,0,DISTRICT,Ashoknagar,Total,172680,845071,443837,401234,138787,72239,66548,175764,92216,83548,82072,42447,39625,469109,290304,178805,375962,153533,222429,315270,231829,83441,241288,199418,41870,103749,94377,9372,72632,52150,20482,8404,5227,3177,56503,47664,8839,73982,32411,41571,13164,4134,9030,49755,21853,27902,2155,877,1278,8908,5547,3361,60391,27918,32473,9671,3027,6644,41961,19418,22543,1630,743,887,7129,4730,2399,13591,4493,9098,3493,1107,2386,7794,2435,5359,525,134,391,1779,817,962,529801,212008,317793
23,457,0,0,0,0,DISTRICT,Balaghat,Total,391836,1701698,842178,859520,212931,108278,104653,125426,61576,63850,383026,186979,196047,1147623,626468,521155,554075,215710,338365,893014,488610,404404,530506,338314,192192,193135,124805,68330,199662,110622,89040,12561,7390,5171,125148,95497,29651,362508,150296,212212,64650,25526,39124,260134,103732,156402,6684,2765,3919,31040,18273,12767,299394,127861,171533,52691,21115,31576,217444,89576,127868,5175,2222,2953,24084,14948,9136,63114,22435,40679,11959,4411,7548,42690,14156,28534,1509,543,966,6956,3325,3631,808684,353568,455116
23,441,0,0,0,0,DISTRICT,Barwani,Total,243277,1385881,699340,686541,265299,136212,129087,87991,44478,43513,962145,482182,479963,549926,313642,236284,835955,385698,450257,653897,365928,287969,525791,321855,203936,253478,156742,96736,185335,94818,90517,5712,4077,1635,81266,66218,15048,128106,44073,84033,34226,8513,25713,81861,28418,53443,1739,735,1004,10280,6407,3873,111623,37172,74451,29593,6732,22861,73049,25090,47959,1350,555,795,7631,4795,2836,16483,6901,9582,4633,1781,2852,8812,3328,5484,389,180,209,2649,1612,1037,731984,333412,398572
23,447,0,0,0,0,DISTRICT,Betul,Total,329832,1575362,799236,776126,211433,108034,103399,159296,81621,77675,667018,333166,333852,939769,529783,409986,635593,269453,366140,786980,453887,333093,511287,345729,165558,204175,145621,58554,171105,91911,79194,7225,5084,2141,128782,103113,25669,275693,108158,167535,49427,17884,31543,187052,67727,119325,4624,1949,2675,34590,20598,13992,214475,83983,130492,35927,12317,23610,151243,54902,96341,3312,1496,1816,23993,15268,8725,61218,24175,37043,13500,5567,7933,35809,12825,22984,1312,453,859,10597,5330,5267,788382,345349,443033
23,420,0,0,0,0,DISTRICT,Bhind,Total,299233,1703005,926843,776162,248230,134705,113525,374799,204212,170587,6131,3283,2848,1094917,676513,418404,608088,250330,357758,520768,455775,64993,422111,387993,34118,216818,205813,11005,101241,91215,10026,6425,4641,1784,97627,86324,11303,98657,67782,30875,14367,8240,6127,57025,41189,15836,3413,1687,1726,23852,16666,7186,83163,58320,24843,11371,6873,4498,48373,35755,12618,2944,1406,1538,20475,14286,6189,15494,9462,6032,2996,1367,1629,8652,5434,3218,469,281,188,3377,2380,997,1182237,471068,711169
23,444,0,0,0,0,DISTRICT,Bhopal,Total,501805,2371061,1236130,1134931,304713,158721,145992,357516,185902,171614,69429,35966,33463,1660690,920314,740376,710371,315816,394555,867457,644960,222497,706036,559122,146914,59379,47109,12270,54950,36397,18553,18622,13725,4897,573085,461891,111194,161421,85838,75583,13967,5037,8930,50245,21922,28323,6110,3000,3110,91099,55879,35220,136505,72854,63651,11444,4060,7384,41156,18258,22898,4769,2391,2378,79136,48145,30991,24916,12984,11932,2523,977,1546,9089,3664,5425,1341,609,732,11963,7734,4229,1503604,591170,912434
23,467,0,0,0,0,DISTRICT,Burhanpur,Total,146341,757847,388504,369343,122869,63874,58995,64254,33037,31217,230095,116420,113675,408679,233073,175606,349168,155431,193737,328339,211925,116414,274900,189074,85826,61467,42403,19064,117409,65941,51468,7279,5134,2145,88745,75596,13149,53439,22851,30588,6332,1965,4367,38886,15707,23179,798,337,461,7423,4842,2581,47484,20307,27177,5274,1527,3747,35489,14543,20946,628,282,346,6093,3955,2138,5955,2544,3411,1058,438,620,3397,1164,2233,170,55,115,1330,887,443,429508,176579,252929
23,425,0,0,0,0,DISTRICT,Chhatarpur,Total,356297,1762375,936121,826254,282794,148861,133933,405313,215258,190055,73597,38081,35516,943033,572010,371023,819342,364111,455231,751797,481518,270279,553862,403408,150454,258880,192284,66596,130732,81120,49612,16105,10204,5901,148145,119800,28345,197935,78110,119825,43348,12112,31236,107632,40573,67059,10285,3522,6763,36670,21903,14767,164359,65020,99339,34919,9008,25911,92842,35462,57380,7831,2814,5017,28767,17736,11031,33576,13090,20486,8429,3104,5325,14790,5111,9679,2454,708,1746,7903,4167,3736,1010578,454603,555975
